filename,name,add_oakland,search_term,type,grades,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Downtown+Charter+Aca--Oakland+Unified--0161259-0129635.csv,Downtown Charter Academy, oakland,Downtown Charter Academy oakland,charter,8-Jun,"2000 Dennison St, Oakland, CA 94606, USA",37.779565,-122.241663,1,range_interpolation,2000,Dennison St,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
East+Bay+Innovation--Oakland+Unified--0161259-0129932.csv,East Bay Innovation Academy, oakland,East Bay Innovation Academy oakland,charter,12-Jun,"3800 Mountain Blvd, Oakland, CA 94619, USA",37.800656,-122.182919,1,rooftop,3800,Mountain Blvd,,,Oakland,CA,Alameda County,94619,US,Alameda
East+Oakland+Leaders--Oakland+Unified--0161259-0100123.csv,,,,,,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522132,-122.98646,1,rooftop,125,SE 3rd Ave,,,Hillsboro,OR,Washington County,97123,US,Washington
East+Oakland+Pride+E--Oakland+Unified--0161259-0115600.csv,East Oakland Pride Elementary, oakland,East Oakland Pride Elementary oakland,public,K-5,"8000 Birch St, Oakland, CA 94621, USA",37.759203,-122.174555,1,range_interpolation,8000,Birch St,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
Edna+Brewer+Middle--Oakland+Unified--0161259-6057061.csv,Edna Brewer Middle, oakland,Edna Brewer Middle oakland,public,8-Jun,"3748 13th Ave, Oakland, CA 94610, USA",37.803527,-122.229126,1,rooftop,3748,13th Ave,,,Oakland,CA,Alameda County,94610,US,Alameda
Elmhurst+Community+P--Oakland+Unified--0161259-0112789.csv,Elmhurst United Middle, oakland,Elmhurst United Middle oakland,public,8-Jun,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
Emerson+Elementary--Oakland+Unified--0161259-6001812.csv,Emerson Elementary, oakland,Emerson Elementary oakland,public,K-5,"4803 Lawton Ave, Oakland, CA 94609, USA",37.834683,-122.257399,1,range_interpolation,4803,Lawton Ave,,,Oakland,CA,Alameda County,94609,US,TIGER/Line® dataset from the US Census Bureau
EnCompass+Academy+El--Oakland+Unified--0161259-0102988.csv,EnCompass Academy Elementary, oakland,EnCompass Academy Elementary oakland,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
Epic+Charter--Oakland+Unified--0161259-0129403.csv,Epic Charter, oakland,Epic Charter oakland,charter,8-Jun,"1045 Derby Ave, Oakland, CA 94601, USA",37.777039,-122.229747,1,rooftop,1045,Derby Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Esperanza+Elementary--Oakland+Unified--0161259-6002190.csv,Esperanza Elementary, oakland,Esperanza Elementary oakland,public,K-5,"10315 E St, Oakland, CA 94603, USA",37.737492,-122.173675,1,range_interpolation,10315,E St,,,Oakland,CA,Alameda County,94603,US,TIGER/Line® dataset from the US Census Bureau
Francophone+Charter--Oakland+Unified--0161259-0132514.csv,Francophone Charter School of Oakland, oakland,Francophone Charter School of Oakland oakland,charter,K-8,"9736 Lawlor St, Oakland, CA 94605, USA",37.751637,-122.157341,1,range_interpolation,9736,Lawlor St,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Franklin+Elementary--Oakland+Unified--0161259-6001820.csv,Franklin Elementary, oakland,Franklin Elementary oakland,public,K-5,"915 Foothill Blvd, Oakland, CA 94606, USA",37.793433,-122.248715,1,rooftop,915,Foothill Blvd,,,Oakland,CA,Alameda County,94606,US,Alameda
Fred+T%2E+Korematsu+Di--Oakland+Unified--0161259-0112813.csv,Fred T. Korematsu Discovery Academy, oakland,Fred T. Korematsu Discovery Academy oakland,public,K-5,"10315 E St, Oakland, CA 94603, USA",37.737492,-122.173675,1,range_interpolation,10315,E St,,,Oakland,CA,Alameda County,94603,US,TIGER/Line® dataset from the US Census Bureau
Fremont+High--Oakland+Unified--0161259-0125716.csv,Fremont High, oakland,Fremont High oakland,public,12-Sep,"4610 Foothill Blvd, Oakland, CA 94601, USA",37.7744,-122.209724,1,rooftop,4610,Foothill Blvd,,,Oakland,CA,Alameda County,94601,US,Alameda
Frick+Middle--Oakland+Unified--0161259-6057020.csv,Frick Middle, oakland,Frick Middle oakland,public,8-Jun,"2845 64th Ave, Oakland, CA 94605, USA",37.771098,-122.184307,1,range_interpolation,2845,64th Ave,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Fruitvale+Elementary--Oakland+Unified--0161259-6001838.csv,Fruitvale Elementary, oakland,Fruitvale Elementary oakland,public,K-5,"3200 Boston Ave, Oakland, CA 94602, USA",37.796182,-122.214102,1,range_interpolation,3200,Boston Ave,,,Oakland,CA,Alameda County,94602,US,TIGER/Line® dataset from the US Census Bureau
Futures+Elementary--Oakland+Unified--0161259-0115576.csv,Futures Elementary, oakland,Futures Elementary oakland,public,K-5,"6701 International Blvd, Oakland, CA 94621, USA",37.760501,-122.193139,1,rooftop,6701,International Blvd,,,Oakland,CA,Alameda County,94621,US,Alameda
Garfield+Elementary--Oakland+Unified--0161259-6001846.csv,Garfield Elementary, oakland,Garfield Elementary oakland,public,K-5,"1640 22nd Ave, Oakland, CA 94606, USA",37.786599,-122.235724,1,range_interpolation,1640,22nd Ave,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
Gateway+to+College+a--Oakland+Unified--0161259-0119859.csv,Gateway to College at Laney College, oakland,Gateway to College at Laney College oakland,public,12-Sep,"900 Fallon St, Oakland, CA 94607, USA",37.796148,-122.261338,1,rooftop,900,Fallon St,,,Oakland,CA,Alameda County,94607,US,Alameda
Glenview+Elementary--Oakland+Unified--0161259-6001853.csv,Glenview Elementary, oakland,Glenview Elementary oakland,public,K-5,"4215 La Cresta Ave, Oakland, CA 94602, USA",37.805891,-122.219759,1,rooftop,4215,La Cresta Ave,,,Oakland,CA,Alameda County,94602,US,Alameda
Global+Family--Oakland+Unified--0161259-0115584.csv,Global Family, oakland,Global Family oakland,public,K-5,"2035 40th Ave, Oakland, CA 94601, USA",37.779417,-122.213294,1,range_interpolation,2035,40th Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Grass+Valley+Element--Oakland+Unified--0161259-6001879.csv,Grass Valley Elementary, oakland,Grass Valley Elementary oakland,public,K-5,"4720 Dunkirk Ave, Oakland, CA 94605, USA",37.753027,-122.124971,1,range_interpolation,4720,Dunkirk Ave,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Greenleaf+Elementary--Oakland+Unified--0161259-0115618.csv,Greenleaf Elementary, oakland,Greenleaf Elementary oakland,public,K-8,"6328 E 17th St, Oakland, CA 94621, USA",37.764772,-122.194576,1,rooftop,6328,E 17th St,,,Oakland,CA,Alameda County,94621,US,Alameda
Hillcrest+Elementary--Oakland+Unified--0161259-6001911.csv,Hillcrest Elementary, oakland,Hillcrest Elementary oakland,public,K-8,"30 Marguerite Dr, Oakland, CA 94618, USA",37.840576,-122.232409,1,range_interpolation,30,Marguerite Dr,,,Oakland,CA,Alameda County,94618,US,TIGER/Line® dataset from the US Census Bureau
Home+and+Hospital+Pr--Oakland+Unified--0161259-0121376.csv,Home and Hospital Program, oakland,Home and Hospital Program oakland,public,K-12,"Oakland, CA, USA",37.786027,-122.223779,1,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Hoover+Elementary--Oakland+Unified--0161259-6057046.csv,Hoover Elementary, oakland,Hoover Elementary oakland,public,K-5,"890 Brockhurst St, Oakland, CA 94608, USA",37.823272,-122.27426,1,rooftop,890,Brockhurst St,,,Emeryville,CA,Alameda County,94608,US,Alameda
Horace+Mann+Elementa--Oakland+Unified--0161259-6001929.csv,Horace Mann Elementary, oakland,Horace Mann Elementary oakland,public,K-5,"5222 Ygnacio Ave, Oakland, CA 94601, USA",37.773649,-122.202441,1,range_interpolation,5222,Ygnacio Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Howard+Elementary--Oakland+Unified--0161259-6001713.csv,Howard Elementary, oakland,Howard Elementary oakland,public,K-5,"8755 Fontaine St, Oakland, CA 94605, USA",37.767932,-122.153988,1,range_interpolation,8755,Fontaine St,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Independent+Study%2C+S--Oakland+Unified--0161259-6114011.csv,"Independent Study, Sojourner Truth", oakland,"Independent Study, Sojourner Truth oakland",public,K-12,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398,1,rooftop,8251,Fontaine St,,,Oakland,CA,Alameda County,94605,US,Alameda
Infant+and+Preschool--Oakland+Unified--0161259-0121210.csv,,,,,,"125 SE 3rd Ave, Hillsboro, OR 97123, USA",45.522132,-122.98646,1,rooftop,125,SE 3rd Ave,,,Hillsboro,OR,Washington County,97123,US,Washington
International+Commun--Oakland+Unified--0161259-6118616.csv,International Community, oakland,International Community oakland,public,K-5,"2825 International Blvd, Oakland, CA 94601, USA",37.779451,-122.230805,1,rooftop,2825,International Blvd,,,Oakland,CA,Alameda County,94601,US,Alameda
Joaquin+Miller+Eleme--Oakland+Unified--0161259-6001945.csv,Joaquin Miller Elementary, oakland,Joaquin Miller Elementary oakland,public,K-5,"5525 Ascot Dr, Oakland, CA 94611, USA",37.818864,-122.201594,1,range_interpolation,5525,Ascot Dr,,,Oakland,CA,Alameda County,94611,US,TIGER/Line® dataset from the US Census Bureau
Kaiser+Elementary--Oakland+Unified--0161259-6001895.csv,Kaiser Elementary, oakland,Kaiser Elementary oakland,public,K-5,"25 S Hill Ct, Oakland, CA 94618, USA",37.852708,-122.231227,1,rooftop,25,S Hill Ct,,,Oakland,CA,Alameda County,94618,US,Alameda
KIPP+Bridge+Academy--Oakland+Unified--0161259-0115014.csv,KIPP Bridge Academy, oakland,KIPP Bridge Academy oakland,charter,K-8,"1700 Market St, Oakland, CA 94607, USA",37.810173,-122.279092,0.82,nearest_rooftop_match,1702,Market St,,,Oakland,CA,Alameda County,94607,US,Alameda
La+Escuelita+Element--Oakland+Unified--0161259-6096523.csv,La Escuelita Elementary, oakland,La Escuelita Elementary oakland,public,K-8,"1050 2nd Ave, Oakland, CA 94606, USA",37.796177,-122.258637,1,range_interpolation,1050,2nd Ave,,,Oakland,CA,Alameda County,94606,US,TIGER/Line® dataset from the US Census Bureau
Lafayette+Elementary--Oakland+Unified--0161259-6001978.csv,MLK / Lafayette Elementary, oakland,MLK / Lafayette Elementary oakland,public,5-Feb,"991 14th St, Oakland, CA 94607, USA",37.808747,-122.28281,1,range_interpolation,991,14th St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
