Name,school_year,SuspensionRate
Castlemont High,2017-18,0.144
Castlemont High,2018-19,0.09
Chabot Elementary,2014-15,0
Chabot Elementary,2015-16,0
Chabot Elementary,2016-17,0.019
Chabot Elementary,2017-18,0
Chabot Elementary,2018-19,0
Civicorps Corpsmember Academy,2014-15,0
Civicorps Corpsmember Academy,2015-16,0.01
Civicorps Corpsmember Academy,2016-17,0.013
Civicorps Corpsmember Academy,2017-18,*
Civicorps Corpsmember Academy,2018-19,0
Claremont Middle,2014-15,0.18
Claremont Middle,2015-16,0.13
Claremont Middle,2016-17,0.049
Claremont Middle,2017-18,0.073
Claremont Middle,2018-19,0.1
Cleveland Elementary,2014-15,0.02
Cleveland Elementary,2015-16,0
Cleveland Elementary,2016-17,0
Cleveland Elementary,2017-18,0.013
Cleveland Elementary,2018-19,0
Coliseum College Prep Academy,2014-15,0.03
Coliseum College Prep Academy,2015-16,0.05
Coliseum College Prep Academy,2016-17,0.082
Coliseum College Prep Academy,2017-18,0.062
Coliseum College Prep Academy,2018-19,0.1
Community Day High,2015-16,0.19
Community Day High,2016-17,0.429
Community Day High,2017-18,0.357
Community Day High,2018-19,0.32
Community Day Middle,2015-16,*
Community Day Middle,2016-17,0.182
Community Day Middle,2017-18,0.647
Community Day Middle,2018-19,*
Community United Elementary,2014-15,0.1
Community United Elementary,2015-16,0.1
Community United Elementary,2016-17,0.165
Community United Elementary,2017-18,0.157
Community United Elementary,2018-19,0.03
Conservatory of Vocal/Instrumental Arts High,2015-16,0.09
Conservatory of Vocal/Instrumental Arts High,2016-17,0
Crocker Highlands Elementary,2014-15,0
Crocker Highlands Elementary,2015-16,0.02
Crocker Highlands Elementary,2016-17,0
Crocker Highlands Elementary,2017-18,0
Crocker Highlands Elementary,2018-19,0
Dewey Academy,2014-15,0
Dewey Academy,2015-16,0.01
Dewey Academy,2016-17,0.039
Dewey Academy,2017-18,0.013
Dewey Academy,2018-19,0.05
Downtown Charter Academy,2014-15,*
Downtown Charter Academy,2015-16,*
Downtown Charter Academy,2016-17,*
Downtown Charter Academy,2017-18,0
Downtown Charter Academy,2018-19,0.03
East Bay Innovation Academy,2014-15,0.09
East Bay Innovation Academy,2015-16,0.04
East Bay Innovation Academy,2016-17,0.043
East Bay Innovation Academy,2017-18,0.011
East Bay Innovation Academy,2018-19,0.12
East Oakland Pride Elementary,2014-15,0.08
East Oakland Pride Elementary,2015-16,0.13
East Oakland Pride Elementary,2016-17,0.053
East Oakland Pride Elementary,2017-18,0.011
East Oakland Pride Elementary,2018-19,0.01
Edna Brewer Middle,2014-15,0.02
Edna Brewer Middle,2015-16,0.05
Edna Brewer Middle,2016-17,0.089
Edna Brewer Middle,2017-18,0.064
Edna Brewer Middle,2018-19,0.07
Elmhurst United Middle,2018-19,0.22
Emerson Elementary,2014-15,0.02
Emerson Elementary,2015-16,0.04
Emerson Elementary,2016-17,0.032
Emerson Elementary,2017-18,0.082
Emerson Elementary,2018-19,0.03
EnCompass Academy Elementary,2014-15,0.02
EnCompass Academy Elementary,2015-16,0.06
EnCompass Academy Elementary,2016-17,0.063
EnCompass Academy Elementary,2017-18,0.033
EnCompass Academy Elementary,2018-19,0.02
Epic Charter,2014-15,0
Epic Charter,2015-16,0.2
Epic Charter,2016-17,0.318
Epic Charter,2017-18,0.327
Epic Charter,2018-19,0.25
Esperanza Elementary,2014-15,*
Esperanza Elementary,2015-16,*
